	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	USERID	TweetTime	TweetID	Tweet	(1) Very General	(2) General	(3) Specific	(4) Very specific	(5) Extremely Specific	NA	Majority	Score	Time	time_zone	weeks	hours	month	date
57	89	89	89	89	89	124236002	2014	546849616151719936	Puffed chests , smiles , handshakes when all goes well now all we hear are denials of blame 'Methinks thou dost protest too much' . 	0	3	1	1	0	0	2	2.6	Mon Dec 22 02:08:03 +0000 2014	Atlantic Time (Canada)	Sun	22	Dec	21
58	90	90	90	90	90	124241281	2014	451853702215659520	Install FireChat so we can chat ! <URL>	0	1	2	1	1	0	3	3.4	Thu Apr 03 22:48:12 +0000 2014	Eastern Time (US & Canada)	Thu	18	Apr	3
59	91	91	91	91	91	124241281	2014	431584220083789824	<USER> Chiraq all day bang bang	3	2	0	0	0	0	1	1.4	Fri Feb 07 00:24:31 +0000 2014	Eastern Time (US & Canada)	Thu	19	Feb	6
60	98	98	98	98	98	125852275	2012	183400371950075905	<USER> loved it . It followed the book really well . 	3	3	0	0	0	0	1	1.5	Sat Mar 24 03:50:30 +0000 2012	Central Time (US & Canada)	Fri	23	Mar	23
61	99	99	99	99	99	125852275	2012	268340722481102850	<USER> good luck sister ! 	4	1	1	0	0	0	1	1.5	Tue Nov 13 13:13:08 +0000 2012	Central Time (US & Canada)	Tue	7	Nov	13
62	100	100	100	100	100	125860658	2012	232144024818036736	Every time someone starts a texts with 'umm' the rest of it sounds so bitchy even if that was n't the intent	0	3	2	1	0	0	2	2.6666666666666665	Sun Aug 05 16:00:23 +0000 2012	Quito	Sun	11	Aug	5
63	101	101	101	101	101	125860658	2012	248801729079029761	'that joke is a classic . It 's like farting silently in public . You ca n't not laugh' -dad	2	3	1	0	0	0	2	1.8333333333333333	Thu Sep 20 15:12:09 +0000 2012	Quito	Thu	10	Sep	20
64	102	102	102	102	102	126009360	2016	693652798727135236	Sometimes I wonder if only ____ he would appreciate me more	0	4	1	1	0	0	2	2.5	Sun Jan 31 04:31:29 +0000 2016	Quito	Sun	0	Jan	31
65	103	103	103	103	103	126009360	2014	533089554677628928	On the verge of crying	4	1	1	0	0	0	1	1.5	Fri Nov 14 02:50:28 +0000 2014	Quito	Thu	22	Nov	13
66	104	104	104	104	104	1260196963	2013	359653968940498944	<USER> YOU'RE MY HERO , FOLLOW ME PLZ	2	1	1	2	0	0	1	2.5	Tue Jul 23 12:39:22 +0000 2013	Eastern Time (US & Canada)	Tue	8	Jul	23
67	105	105	105	105	105	1260196963	2014	455529577335767041	<USER> . and yal hoes swear RIh cant sing them high notes , FOH	2	3	0	1	0	0	2	2.0	Mon Apr 14 02:14:49 +0000 2014	Eastern Time (US & Canada)	Sun	21	Apr	13
68	106	106	106	106	106	1044097974	2017	903802555070693376	I'm the worst bc when I have a question I never text ppl like 'hey how 's it going' first , I just text them my question straight off lol	1	3	0	2	0	0	2	2.5	Sat Sep 02 02:11:35 +0000 2017	Pacific Time (US & Canada)	Fri	19	Sep	1
69	107	107	107	107	107	1044097974	2017	903855892122157056	Those wavy eyebrows look so ugly lol	1	2	2	0	1	0	2	2.6666666666666665	Sat Sep 02 05:43:32 +0000 2017	Pacific Time (US & Canada)	Fri	23	Sep	1
70	108	108	108	108	108	10451182	2016	789191239803375617	<USER> <USER> Love Brian Stelfreeze 's art ! <URL>	0	1	2	1	2	0	3	3.6666666666666665	Thu Oct 20 19:47:08 +0000 2016	Eastern Time (US & Canada)	Thu	15	Oct	20
71	109	109	109	109	109	10451182	2016	765370618074267648	<USER> Thanks ! What do you want for them ? 	4	1	1	0	0	0	1	1.5	Tue Aug 16 02:12:29 +0000 2016	Eastern Time (US & Canada)	Mon	21	Aug	15
72	110	110	110	110	110	104729015	2015	656556320699588608	While you rake leaves & carve pumpkins , check out how the rest of the world welcomes fall . <URL> #EquinoxCelebrations	1	2	2	0	1	0	2	2.6666666666666665	Tue Oct 20 19:43:19 +0000 2015	Eastern Time (US & Canada)	Tue	15	Oct	20
73	111	111	111	111	111	104729015	2014	529410643955564544	Wow ! I just won this for free , **RARE** 10 Pentapetes Phoenicia 'Noon Flower' SEEDS ! ! Rare Trop <URL> #listia	0	0	2	2	2	0	3	4.0	Mon Nov 03 23:11:48 +0000 2014	Eastern Time (US & Canada)	Mon	18	Nov	3
74	112	112	112	112	112	10476692	2011	28920440042815488	I subscribed to AthleticStarDotCom 's channel on YouTube . <URL>	0	0	3	1	2	0	3	3.8333333333333335	Sat Jan 22 21:02:24 +0000 2011	Eastern Time (US & Canada)	Sat	16	Jan	22
75	113	113	113	113	113	10476692	2011	24598660662693888	I subscribed to Temdant 's channel on YouTube . <URL>	0	1	2	1	2	0	3	3.6666666666666665	Mon Jan 10 22:49:12 +0000 2011	Eastern Time (US & Canada)	Mon	18	Jan	10
76	114	114	114	114	114	104876205	2013	371130989214322689	2 days and my guitar get 's fixed . I also get new strings and possibly some mics . Prepare for awesomeness . 	0	1	3	1	1	0	3	3.333333333333333	Sat Aug 24 04:44:57 +0000 2013	Atlantic Time (Canada)	Sat	1	Aug	24
77	115	115	115	115	115	104876205	2013	359384052073103360	first cover to conquer , In The End by BVB . Damn you Jake pitts and your light speed fingers . 	0	1	2	1	2	0	3	3.6666666666666665	Mon Jul 22 18:46:49 +0000 2013	Atlantic Time (Canada)	Mon	15	Jul	22
78	122	122	122	122	122	117912833	2010	21617710903	Dethmoo has earned the Scarlet Monastery achievement on Azgalor . #wow	0	0	2	3	1	0	4	3.8333333333333335	Thu Aug 19 23:42:47 +0000 2010	Central Time (US & Canada)	Thu	19	Aug	19
79	123	123	123	123	123	117912833	2010	21947698155	Dethmoo has earned the Zul'Farrak achievement on Azgalor . #wow	0	0	2	3	1	0	4	3.8333333333333335	Mon Aug 23 22:17:23 +0000 2010	Central Time (US & Canada)	Mon	17	Aug	23
80	124	124	124	124	124	118156180	2013	410933771454930945	<USER> <USER> haha I hope so . ! ! 	6	0	0	0	0	0	1	1.0	Thu Dec 12 00:47:00 +0000 2013	Arizona	Wed	18	Dec	11
81	125	125	125	125	125	118156180	2014	536005742256332800	“<USER> : all i want for christmas <URL>”	3	2	0	1	0	0	1	1.8333333333333333	Sat Nov 22 03:58:22 +0000 2014	Arizona	Fri	21	Nov	21
82	126	126	126	126	126	108855018	2012	251981673229582336	<USER> No joke , I brought up The Human Centipede when the CatDog question arose earlier . . . No one I was with had seen it , so it was lost . 	0	1	1	3	1	1	4	3.6666666666666665	Sat Sep 29 09:48:07 +0000 2012	Central Time (US & Canada)	Sat	5	Sep	29
83	127	127	127	127	127	108855018	2012	251852128778326016	How did CatDog go to the bathroom ? ? #UnansweredCartoonQuestions	1	4	1	1	0	0	2	2.2857142857142856	Sat Sep 29 01:13:21 +0000 2012	Central Time (US & Canada)	Fri	20	Sep	28
84	128	128	128	128	128	109457750	2017	943331900663435264	<USER> I did this one , too !  👊🏼 	5	1	0	0	0	0	1	1.1666666666666667	Wed Dec 20 04:07:06 +0000 2017	Eastern Time (US & Canada)	Tue	23	Dec	19
85	129	129	129	129	129	109457750	2017	942539188100108288	Following people around a store because you think they might steal something #SignsOfTrustIssues	0	3	3	0	0	0	2	2.5	Sun Dec 17 23:37:08 +0000 2017	Eastern Time (US & Canada)	Sun	19	Dec	17
86	130	130	130	130	130	10955832	2012	156929576692482048	Stuff of Legend - Reacted to Blueshirts On MSG : <URL>	0	2	4	0	0	0	3	2.6666666666666665	Wed Jan 11 02:45:01 +0000 2012	Central Time (US & Canada)	Tue	21	Jan	10
87	131	131	131	131	131	10955832	2012	153911349020332032	BlueShirts United - Photos <URL>	0	3	1	2	0	0	2	2.833333333333333	Mon Jan 02 18:51:39 +0000 2012	Central Time (US & Canada)	Mon	13	Jan	2
88	132	132	132	132	132	109617442	2015	643527800117456896	<USER> I really should stop talking to you in the newsroom	1	3	2	0	0	0	2	2.1666666666666665	Mon Sep 14 20:52:38 +0000 2015	Eastern Time (US & Canada)	Mon	16	Sep	14
89	133	133	133	133	133	109617442	2017	822194557521723392	 . <USER> sees record-breaking passenger growth in 2016 –– 11 million people ! #nc #travel <URL>	0	0	2	2	2	0	3	4.0	Thu Jan 19 21:30:32 +0000 2017	Eastern Time (US & Canada)	Thu	17	Jan	19
90	136	136	136	136	136	1102356913	2017	893831577720967169	Incubus Makes You Wish You Were There | Where Y'at <URL>	1	1	3	0	1	0	3	2.833333333333333	Sat Aug 05 13:50:29 +0000 2017	Pacific Time (US & Canada)	Sat	7	Aug	5
91	137	137	137	137	137	1102356913	2017	890394294871236608	<USER> Transatlanticism - DCFC Played it nonstop for at least a year . 	0	4	1	1	0	0	2	2.5	Thu Jul 27 02:11:57 +0000 2017	Pacific Time (US & Canada)	Wed	19	Jul	26
92	138	138	138	138	138	11522232	2008	964016821	Back from the DMV . Surprisingly painless experience . 	0	2	3	0	1	0	3	3.0	Fri Oct 17 16:12:35 +0000 2008	Eastern Time (US & Canada)	Fri	11	Oct	17
93	139	139	139	139	139	11522232	2010	25858028123	Good news , everyone ! World War I is finally over : <URL>	0	2	2	1	1	0	2	3.1666666666666665	Wed Sep 29 05:50:54 +0000 2010	Eastern Time (US & Canada)	Wed	1	Sep	29
94	142	142	142	142	142	115360002	2017	897170248327192577	<USER> <USER> ABA no sirve en NINGUN LADO	1	2	1	0	0	2	2	2.0	Mon Aug 14 18:57:10 +0000 2017	Caracas	Mon	15	Aug	14
95	143	143	143	143	143	115433242	2014	502210511636033537	<USER> Why does n't Bob just paint himself black ? He would fit right in . 	2	1	1	1	1	0	1	2.6666666666666665	Wed Aug 20 21:48:11 +0000 2014	Central Time (US & Canada)	Wed	17	Aug	20
96	144	144	144	144	144	115433242	2012	262307319336034305	<USER> lose the glasses . . . You look soooo much better without them	0	3	1	1	1	0	2	3.0	Sat Oct 27 21:38:33 +0000 2012	Central Time (US & Canada)	Sat	17	Oct	27
97	146	146	146	146	146	122567099	2013	301401258080731137	New Blog Post : It 's Not Often a Photoshoot Blows Me Away . But THIS . . . <URL> <USER>	1	2	2	0	1	0	2	2.6666666666666665	Tue Feb 12 18:43:54 +0000 2013	Quito	Tue	14	Feb	12
98	147	147	147	147	147	122567099	2012	179599695339995139	Totally a cheeseburger and fries kinda day	1	3	1	0	1	0	2	2.5	Tue Mar 13 16:07:58 +0000 2012	Quito	Tue	11	Mar	13
99	152	152	152	152	152	122830450	2011	146444639153565696	Have n't been feeling my best but this put a smile on my face <URL>	2	2	0	2	0	0	1	2.333333333333333	Tue Dec 13 04:21:37 +0000 2011	America/Detroit	Mon	23	Dec	12
100	153	153	153	153	153	122830450	2016	787426340953788416	Me being a creeper while Frank tries to take pictures <URL>	0	3	1	2	0	0	2	2.833333333333333	Sat Oct 15 22:54:04 +0000 2016	America/Detroit	Sat	19	Oct	15
101	154	154	154	154	154	1230012013	2017	869949581404102656	I entered a giveaway for a chance to win 'Insulated Casserole Carrier' by Innisbrook . <URL> #giveaway	0	0	1	2	3	0	5	4.333333333333333	Wed May 31 16:11:57 +0000 2017	Eastern Time (US & Canada)	Wed	11	May	31
102	155	155	155	155	155	1230012013	2017	864854462644531200	Excellent Tauki Kid Bike <URL> <URL> #giveaway	0	1	1	0	4	0	5	4.166666666666667	Wed May 17 14:45:46 +0000 2017	Eastern Time (US & Canada)	Wed	10	May	17
103	156	156	156	156	156	114272678	2014	509392001456812032	<USER> it really is that why everyone male and female should practice restraint sometimes it 's better to just walk away	0	2	1	1	1	1	2	3.2	Tue Sep 09 17:24:51 +0000 2014	Alaska	Tue	9	Sep	9
104	157	157	157	157	157	114272678	2014	491610020555915264	<USER> why u take this pic of him lls u rude as shit	3	1	1	0	1	0	1	2.1666666666666665	Tue Jul 22 15:45:37 +0000 2014	Alaska	Tue	8	Jul	22
105	158	158	158	158	158	1143891	2012	263155935365701632	Super interesting '<USER> : New Poynter Eyetrack research reveals how people read news on tablets <URL>'	0	0	1	3	2	0	4	4.166666666666667	Tue Oct 30 05:50:38 +0000 2012	Pacific Time (US & Canada)	Mon	23	Oct	29
106	159	159	159	159	159	1143891	2008	831900729	<USER> whoa that 's a wierd survey	3	2	1	0	0	0	1	1.6666666666666667	Wed Jun 11 04:35:59 +0000 2008	Pacific Time (US & Canada)	Tue	22	Jun	10
107	160	160	160	160	160	114404673	2012	281251344835289088	Wow . I REALLY hope we get some explanation of Tony 's apartment . It 's so sad : ( #NCIS	1	1	3	1	0	0	3	2.6666666666666665	Wed Dec 19 04:15:20 +0000 2012	Pacific Time (US & Canada)	Tue	20	Dec	18
108	161	161	161	161	161	114404673	2016	727714439064104961	<USER> Oh it 's okay , it 's super late . I just like to sad ; ) 	2	4	0	0	0	0	2	1.6666666666666667	Wed May 04 04:20:17 +0000 2016	Pacific Time (US & Canada)	Tue	21	May	3
109	162	162	162	162	162	1146530108	2013	390676792815939584	Love my country music 😬  #awesome #imdifferent #weird #for #me #dope <URL>	3	0	2	0	1	0	1	2.333333333333333	Thu Oct 17 03:13:00 +0000 2013	Mazatlan	Wed	21	Oct	16
